Frame,X-coordinate,Y-coordinate
0,440,152
1,434,146
2,430,142
3,424,136
4,420,132
5,-,-
6,410,122
7,404,116
8,400,112
9,394,106
10,390,102
11,384,96
12,380,92
13,374,86
14,370,82
15,364,76
16,360,72
17,354,66
18,350,62
19,344,56
20,340,52
21,334,46
22,330,42
23,324,36
24,320,32
25,314,26
26,310,22
27,304,16
28,300,12
29,-,-
30,-,-
31,-,-
32,-,-
33,-,-
34,270,12
35,264,16
36,260,22
37,254,26
38,250,32
39,244,36
40,240,42
41,234,46
42,230,52
43,224,56
44,220,62
45,214,66
46,210,72
47,-,-
48,200,82
49,194,86
50,-,-
51,184,96
52,180,102
53,174,106
54,170,112
55,-,-
56,160,122
57,-,-
58,150,132
59,144,136
60,140,142
61,134,146
62,130,152
63,124,156
64,120,162
65,114,166
66,110,172
67,104,176
68,-,-
69,-,-
70,90,192
71,-,-
72,80,202
73,74,206
74,70,212
75,64,216
76,60,222
77,54,226
78,50,232
79,44,236
80,-,-
81,34,246
82,30,252
83,24,256
84,20,262
85,14,266
86,10,272
87,-,-
88,-,-
89,-,-
90,10,292
91,14,296
92,-,-
93,24,306
94,30,312
95,34,316
96,40,322
97,44,326
98,50,332
99,54,336
100,60,342
101,64,346
102,70,352
103,74,356
104,80,362
105,84,366
106,90,372
107,94,376
108,100,382
109,104,386
110,110,392
111,114,396
112,120,402
113,-,-
114,-,-
115,134,416
116,140,422
117,144,426
118,150,432
119,154,436
120,160,442
121,164,446
122,170,452
123,174,456
124,180,462
125,184,466
126,190,472
127,194,476
128,200,482
129,204,486
130,-,-
131,214,496
132,220,502
133,224,506
134,230,512
135,234,516
136,240,522
137,244,526
138,250,532
139,254,536
140,260,542
141,264,546
142,270,552
143,274,556
144,280,562
145,284,566
146,290,572
147,294,576
148,300,582
149,304,586
150,-,-
151,-,-
152,-,-
153,-,-
154,-,-
155,-,-
156,340,582
157,344,576
158,350,572
159,354,566
160,360,562
161,364,556
162,-,-
163,374,546
164,380,542
165,384,536
166,-,-
167,394,526
168,400,522
169,404,516
170,410,512
171,414,506
172,420,502
173,424,496
174,430,492
175,434,486
176,440,482
177,444,476
178,450,472
179,454,466
180,460,462
181,464,456
182,470,452
183,474,446
184,480,442
185,484,436
186,490,432
187,494,426
188,500,422
189,504,416
190,510,412
191,514,406
192,520,402
193,524,396
194,530,392
195,534,386
196,540,382
197,-,-
198,550,372
199,554,366
200,560,362
201,564,356
202,570,352
203,574,346
204,580,342
205,584,336
206,590,332
207,594,326
208,600,322
209,604,316
210,-,-
211,614,306
212,620,302
213,624,296
214,-,-
215,634,286
216,640,282
217,644,276
218,650,272
219,654,266
220,660,262
221,664,256
222,670,252
223,674,246
224,680,242
225,684,236
226,690,232
227,694,226
228,700,222
229,704,216
230,710,212
231,714,206
232,720,202
233,724,196
234,730,192
235,734,186
236,740,182
237,744,176
238,750,172
239,754,166
240,760,162
241,764,156
242,770,152
243,774,146
244,780,142
245,-,-
246,790,132
247,-,-
248,-,-
249,-,-
250,790,112
251,784,106
252,780,102
253,774,96
254,770,92
255,764,86
256,760,82
257,754,76
258,750,72
259,744,66
260,740,62
261,734,56
262,730,52
263,724,46
264,720,42
265,714,36
266,710,32
267,704,26
268,700,22
269,694,16
270,690,12
271,-,-
272,-,-
273,-,-
274,-,-
275,-,-
276,660,12
277,654,16
278,650,22
279,644,26
280,-,-
281,634,36
282,630,42
283,624,46
284,620,52
285,614,56
286,610,62
287,604,66
288,600,72
289,594,76
290,590,82
291,584,86
292,580,92
293,574,96
294,570,102
295,564,106
296,560,112
297,554,116
298,550,122
299,544,126
300,540,132
301,534,136
302,530,142
303,524,146
304,520,152
305,514,156
306,510,162
307,504,166
308,500,172
309,494,176
310,-,-
311,484,186
312,480,192
313,474,196
314,470,202
315,464,206
316,460,212
317,454,216
318,450,222
319,444,226
320,440,232
321,434,236
322,430,242
323,424,246
324,420,252
325,414,256
326,410,262
327,404,266
328,-,-
329,394,276
330,390,282
331,386,288
332,380,292
333,374,296
334,370,302
335,364,306
336,360,312
337,354,316
338,350,322
339,344,326
340,340,332
341,334,336
342,330,342
343,324,346
344,320,352
345,314,356
346,310,362
347,304,366
348,300,372
349,294,376
350,290,382
351,284,386
352,280,392
353,274,396
354,270,402
355,264,406
356,260,412
357,254,416
358,-,-
359,244,426
360,240,432
361,234,436
362,230,442
363,224,446
364,220,452
365,214,456
366,210,462
367,204,466
368,200,472
369,194,476
370,190,482
371,184,486
372,180,492
373,174,496
374,170,502
375,164,506
376,-,-
377,154,516
378,150,522
379,146,528
380,140,532
381,134,536
382,130,542
383,124,546
384,120,552
385,114,556
386,110,562
387,104,566
388,100,572
389,94,576
390,90,582
391,84,586
392,-,-
393,-,-
394,-,-
395,-,-
396,-,-
397,54,586
398,50,582
399,44,576
400,40,572
401,34,566
402,30,562
403,24,556
404,20,552
405,14,546
406,-,-
407,-,-
408,-,-
409,-,-
410,10,522
411,14,516
412,20,512
413,24,506
414,30,502
415,34,496
416,40,492
417,44,486
418,50,482
419,54,476
420,60,472
421,64,466
422,70,462
423,74,456
424,80,452
425,84,446
426,90,442
427,94,436
428,100,432
429,104,426
430,110,422
431,114,416
432,120,412
433,124,406
434,130,402
435,134,396
436,140,392
437,144,386
438,150,382
439,154,376
440,160,372
441,164,366
442,170,362
443,174,356
444,180,352
445,-,-
446,190,342
447,194,336
448,200,332
449,-,-
450,-,-
451,-,-
452,-,-
453,224,306
454,230,302
455,234,296
456,240,292
457,244,286
458,250,282
459,254,276
460,260,272
461,264,266
462,270,262
463,274,256
464,280,252
465,284,246
466,290,242
467,294,236
468,300,232
469,304,226
470,310,222
471,314,216
472,320,212
473,324,206
474,330,202
475,334,196
476,340,192
477,344,186
478,350,182
479,354,176
480,360,172
481,364,166
482,370,162
483,374,156
484,380,152
485,384,146
486,390,142
487,394,136
488,400,132
489,404,126
490,410,122
491,414,116
492,420,112
493,-,-
494,430,102
495,434,96
496,440,92
497,-,-
498,-,-
499,-,-
500,-,-
501,464,66
502,470,62
503,474,56
504,480,52
505,484,46
506,490,42
507,494,36
508,500,32
509,504,26
510,510,22
511,514,16
512,520,12
513,-,-
514,-,-
515,-,-
516,-,-
517,-,-
518,550,12
519,554,16
520,560,22
521,564,26
522,570,32
523,-,-
524,580,42
525,-,-
526,590,52
527,594,56
528,600,62
529,604,66
530,610,72
531,614,76
532,620,82
533,624,86
534,630,92
535,634,96
536,640,102
537,644,106
538,650,112
539,654,116
540,660,122
541,664,126
542,670,132
543,674,136
544,-,-
545,684,146
546,690,152
547,694,156
548,700,162
549,704,166
550,710,172
551,714,176
552,720,182
553,724,186
554,730,192
555,734,196
556,740,202
557,744,206
558,750,212
559,754,216
560,760,222
561,764,226
562,770,232
563,774,236
564,-,-
565,784,246
566,790,252
567,-,-
568,-,-
569,-,-
570,790,272
571,784,276
572,780,282
573,774,286
574,770,292
575,764,296
576,760,302
577,754,306
578,750,312
579,744,316
580,740,322
581,734,326
582,730,332
583,724,336
584,720,342
585,714,346
586,710,352
587,704,356
588,700,362
589,694,366
590,690,372
591,684,376
592,680,382
593,674,386
594,670,392
595,664,396
596,660,402
597,654,406
598,650,412
599,-,-
600,640,422
601,634,426
602,630,432
603,624,436
604,620,442
605,614,446
606,610,452
607,604,456
608,600,462
609,594,466
610,590,472
611,584,476
612,580,482
613,574,486
614,-,-
615,564,496
616,560,502
617,554,506
618,550,512
619,544,516
620,540,522
621,534,526
622,530,532
623,524,536
624,520,542
625,514,546
626,510,552
627,504,556
628,500,562
629,494,566
630,490,572
631,484,576
632,480,582
633,474,586
634,-,-
635,-,-
636,-,-
637,-,-
638,-,-
639,444,586
640,440,582
641,434,576
642,430,572
643,424,566
644,420,562
645,414,556
646,410,552
647,404,546
648,400,542
649,394,536
650,390,532
651,384,526
652,380,522
653,374,516
654,370,512
655,364,506
656,360,502
657,354,496
658,350,492
659,344,486
660,340,482
661,334,476
662,330,472
663,324,466
664,320,462
665,314,456
666,310,452
667,304,446
668,300,442
669,294,436
670,290,432
671,284,426
672,280,422
673,-,-
674,270,412
675,264,406
676,260,402
677,254,396
678,250,392
679,244,386
680,240,382
681,234,376
682,230,372
683,224,366
684,220,362
685,214,356
686,210,352
687,204,346
688,200,342
689,194,336
690,190,332
691,184,326
692,180,322
693,174,316
694,170,312
695,164,306
696,160,302
697,154,296
698,150,292
699,144,286
700,140,282
701,134,276
702,130,272
703,124,266
704,120,262
705,114,256
706,110,252
707,104,246
708,100,242
709,94,236
710,90,232
711,84,226
712,80,222
713,74,216
714,70,212
715,64,206
716,60,202
717,54,196
718,50,192
719,44,186
720,40,182
721,-,-
722,30,172
723,24,166
724,20,162
725,14,156
726,10,152
727,-,-
728,-,-
729,-,-
730,10,132
731,14,126
732,20,122
733,24,116
734,-,-
735,34,106
736,40,102
737,44,96
738,50,92
739,54,86
740,60,82
741,64,76
742,70,72
743,74,66
744,80,62
745,84,56
746,90,52
747,94,46
748,100,42
749,104,36
750,110,32
751,114,26
752,120,22
753,124,16
754,130,12
755,-,-
756,-,-
757,-,-
758,-,-
759,-,-
760,160,12
761,164,16
762,170,22
763,174,26
764,180,32
765,184,36
766,190,42
767,194,46
768,200,52
769,204,56
770,210,62
771,214,66
772,220,72
773,224,76
774,230,82
775,234,86
776,240,92
777,244,96
778,250,102
779,254,106
780,260,112
781,-,-
782,270,122
783,-,-
784,280,132
785,284,136
786,-,-
787,-,-
788,300,152
789,304,156
790,310,162
791,314,166
792,320,172
793,324,176
794,-,-
795,334,186
796,340,192
797,344,196
798,350,202
799,354,206
800,360,212
801,364,216
802,370,222
803,374,226
804,380,232
805,384,236
806,390,242
807,394,246
808,400,252
809,404,256
810,410,262
811,414,266
812,420,272
813,424,276
814,430,282
815,434,286
816,440,292
817,444,296
818,450,302
819,454,306
820,460,312
821,464,316
822,470,322
823,474,326
824,480,332
825,484,336
826,490,342
827,494,346
828,500,352
829,-,-
830,510,362
831,-,-
832,520,372
833,524,376
834,-,-
835,-,-
836,540,392
837,544,396
838,550,402
839,554,406
840,560,412
841,564,416
842,-,-
843,574,426
844,580,432
845,584,436
846,590,442
847,594,446
848,600,452
849,604,456
850,610,462
851,614,466
852,620,472
853,624,476
854,630,482
855,634,486
856,640,492
857,644,496
858,650,502
859,654,506
860,660,512
861,664,516
862,670,522
863,674,526
864,680,532
865,684,536
866,690,542
867,694,546
868,700,552
869,704,556
870,710,562
871,714,566
872,720,572
873,724,576
874,730,582
875,734,586
876,-,-
877,-,-
878,-,-
879,-,-
880,-,-
881,764,586
882,770,582
883,774,576
884,780,572
885,784,566
886,-,-
887,-,-
888,-,-
889,-,-
890,790,542
891,784,536
892,780,532
893,774,526
894,770,522
895,764,516
896,760,512
897,754,506
898,750,502
899,744,496
