Frame,X-coordinate,Y-coordinate
0,739,522
1,734,517
2,729,512
3,724,507
4,719,502
5,714,497
6,709,492
7,704,487
8,699,482
9,694,477
10,689,472
11,684,467
12,679,462
13,674,457
14,669,452
15,664,447
16,659,442
17,654,437
18,649,432
19,644,427
20,639,422
21,634,417
22,629,412
23,624,407
24,619,402
25,614,397
26,609,392
27,604,387
28,599,382
29,594,377
30,589,372
31,584,367
32,579,362
33,574,357
34,569,352
35,564,347
36,559,342
37,554,337
38,549,332
39,544,327
40,539,322
41,534,317
42,529,312
43,524,307
44,519,302
45,514,297
46,509,292
47,504,287
48,499,282
49,494,277
50,489,272
51,484,267
52,479,262
53,474,257
54,469,252
55,464,247
56,459,242
57,454,237
58,449,232
59,444,227
60,439,222
61,434,217
62,429,212
63,424,207
64,419,202
65,414,197
66,409,192
67,404,187
68,399,182
69,394,177
70,389,172
71,384,167
72,379,162
73,374,157
74,369,152
75,364,147
76,359,142
77,354,137
78,349,132
79,344,127
80,339,122
81,334,117
82,329,112
83,324,107
84,319,102
85,314,97
86,309,92
87,304,87
88,299,82
89,294,77
90,289,72
91,284,67
92,279,62
93,274,57
94,269,52
95,264,47
96,259,42
97,254,37
98,249,32
99,244,27
100,239,22
101,234,17
102,-,-
103,-,-
104,-,-
105,-,-
106,-,-
107,-,-
108,-,-
109,194,17
110,189,22
111,184,27
112,179,32
113,174,37
114,169,42
115,164,47
116,159,52
117,154,57
118,149,62
119,144,67
120,139,72
121,134,77
122,129,82
123,124,87
124,119,92
125,114,97
126,109,102
127,104,107
128,99,112
129,94,117
130,89,122
131,84,127
132,79,132
133,74,137
134,69,142
135,64,147
136,59,152
137,54,157
138,49,162
139,44,167
140,39,172
141,34,177
142,29,182
143,24,187
144,19,192
145,-,-
146,-,-
147,-,-
148,-,-
149,-,-
150,-,-
151,-,-
152,19,232
153,24,237
154,29,242
155,34,247
156,39,252
157,44,257
158,49,262
159,54,267
160,59,272
161,64,277
162,69,282
163,74,287
164,79,292
165,84,297
166,89,302
167,94,307
168,99,312
169,104,317
170,109,322
171,114,327
172,119,332
173,124,337
174,129,342
175,134,347
176,139,352
177,144,357
178,149,362
179,154,367
180,159,372
181,164,377
182,169,382
183,174,387
184,179,392
185,184,397
186,189,402
187,194,407
188,199,412
189,204,417
190,209,422
191,214,427
192,219,432
193,224,437
194,229,442
195,234,447
196,239,452
197,244,457
198,249,462
199,254,467
200,259,472
201,264,477
202,269,482
203,274,487
204,279,492
205,284,497
206,289,502
207,294,507
208,299,512
209,304,517
210,309,522
211,314,527
212,319,532
213,324,537
214,329,542
215,334,547
216,339,552
217,344,557
218,349,562
219,354,567
220,359,572
221,364,577
222,369,582
223,-,-
224,-,-
225,-,-
226,-,-
227,-,-
228,-,-
229,-,-
230,409,582
