Frame,X-coordinate,Y-coordinate
0,649,375
1,654,370
2,659,365
3,664,359
4,669,355
5,674,349
6,679,345
7,684,339
8,689,335
9,694,329
10,699,325
11,704,319
12,709,315
13,714,309
14,719,304
15,724,299
16,729,295
17,734,289
18,739,285
19,743,279
20,749,274
21,753,269
22,759,265
23,763,259
24,769,255
25,-,-
26,-,-
27,-,-
28,-,-
29,-,-
30,784,235
31,784,241
32,783,221
33,-,-
34,-,-
35,-,-
36,-,-
37,-,-
38,769,185
39,764,179
40,759,175
41,754,169
42,749,165
43,744,159
44,739,155
45,734,150
46,729,145
47,724,140
48,719,135
49,714,130
50,709,125
51,704,119
52,699,115
53,694,109
54,689,105
55,684,100
56,679,95
57,674,89
58,669,85
59,664,80
60,659,75
61,654,70
62,649,65
63,644,60
64,639,55
65,634,49
66,629,45
67,624,39
68,619,35
69,614,29
70,609,24
71,-,-
72,-,-
73,-,-
74,-,-
75,585,19
76,-,-
77,-,-
78,-,-
79,-,-
80,-,-
81,-,-
82,-,-
83,545,19
84,-,-
85,-,-
86,-,-
87,-,-
88,519,24
89,514,29
90,509,35
91,504,39
92,499,45
93,494,49
94,489,55
95,484,59
96,479,65
97,474,69
98,469,75
99,464,79
100,459,85
101,454,89
102,449,95
103,444,99
104,439,105
105,434,109
106,429,115
107,424,119
108,419,125
109,414,130
110,409,134
111,404,139
112,399,145
113,394,149
114,389,155
115,384,159
116,379,165
117,374,169
118,369,175
119,364,179
120,359,185
121,354,189
122,349,195
123,344,200
124,339,205
125,334,210
126,329,215
127,324,219
128,319,225
129,314,229
130,309,235
131,304,239
132,299,245
133,294,250
134,289,255
135,284,260
136,279,265
137,274,269
138,269,275
139,264,280
140,259,285
141,254,290
142,249,295
143,244,299
144,239,305
145,234,309
146,229,315
147,224,319
148,219,325
149,214,329
150,209,335
151,204,339
152,199,345
153,194,349
154,189,355
155,184,359
156,179,365
157,174,370
158,169,374
159,164,379
160,159,385
161,154,389
162,149,395
163,144,399
164,139,405
165,134,409
166,129,415
167,124,419
168,119,425
169,114,429
170,109,435
171,104,440
172,99,445
173,94,450
174,89,455
175,84,459
176,79,465
177,74,469
178,69,475
179,64,479
180,59,485
181,54,490
182,49,495
183,44,500
184,39,505
185,34,509
186,29,515
187,-,-
188,-,-
189,-,-
190,-,-
191,-,-
192,13,554
193,-,-
194,-,-
195,-,-
196,-,-
197,-,-
198,-,-
199,-,-
200,-,-
201,-,-
202,-,-
203,-,-
204,59,564
205,64,559
206,69,555
207,74,549
208,79,545
209,84,539
210,89,535
211,94,529
212,99,525
213,104,519
214,109,514
215,113,509
216,119,505
217,124,499
218,129,495
219,134,489
220,139,485
221,144,479
222,149,475
223,154,469
224,159,465
225,164,459
226,169,455
227,174,449
228,179,445
229,184,439
230,189,434
231,194,429
232,199,425
233,204,419
234,209,415
235,214,409
236,219,405
237,224,399
238,229,395
239,234,389
240,239,385
241,244,379
242,249,375
243,254,369
244,259,365
245,264,359
246,269,355
247,274,349
248,279,345
249,284,339
250,289,335
251,294,329
252,299,325
253,304,319
254,309,315
255,314,309
256,319,305
257,324,299
258,329,295
259,334,289
260,339,285
261,344,279
262,349,274
263,354,269
264,359,265
265,364,259
266,369,255
