Frame,X-coordinate,Y-coordinate
0,2,164
1,6,168
2,9,172
3,12,176
4,16,180
5,22,186
6,26,190
7,32,196
8,36,200
9,42,206
10,46,210
11,52,216
12,56,220
13,62,226
14,66,230
15,72,236
16,76,240
17,82,246
18,86,250
19,92,256
20,96,260
21,102,266
22,106,270
23,112,276
24,116,280
25,122,286
26,126,290
27,132,296
28,136,300
29,142,306
30,146,310
31,152,316
32,156,320
33,162,326
34,166,330
35,172,336
36,176,340
37,182,346
38,186,350
39,192,356
40,196,360
41,202,366
42,206,370
43,212,376
44,216,380
45,222,386
46,226,390
47,232,396
48,236,400
49,242,406
50,246,410
51,252,416
52,256,420
53,262,426
54,266,430
55,272,436
56,276,440
57,282,446
58,286,450
59,292,456
60,296,460
61,302,466
62,306,470
63,312,476
64,316,480
65,322,486
66,326,490
67,332,496
68,336,500
69,342,506
70,346,510
71,352,516
72,356,520
73,362,526
74,366,530
75,372,536
76,376,540
77,382,546
78,386,550
79,392,556
80,396,560
81,402,566
82,406,570
83,412,576
84,416,580
85,422,586
86,426,590
87,430,594
88,436,596
89,440,590
90,446,590
91,452,586
92,456,580
93,462,576
94,466,570
95,472,566
96,476,560
97,482,556
98,486,550
99,492,546
100,496,540
101,502,536
102,506,530
103,512,526
104,516,520
105,522,516
106,526,510
107,532,506
108,536,500
109,542,496
110,546,490
111,552,486
112,556,480
113,562,476
114,566,470
115,572,466
116,576,460
117,582,456
118,586,450
119,592,446
120,596,440
121,602,436
122,606,430
123,612,426
124,616,420
125,622,416
126,626,410
127,632,406
128,636,400
129,642,396
130,646,390
131,652,386
132,656,380
133,662,376
134,666,370
135,672,366
136,676,360
137,682,356
138,686,350
139,692,346
140,696,340
141,702,336
142,706,330
143,712,326
144,716,320
145,722,316
146,726,310
147,732,306
148,736,300
149,742,296
150,746,290
151,752,286
152,756,280
153,762,276
154,766,270
155,772,266
156,776,260
157,782,256
158,786,250
159,790,246
160,794,242
161,798,238
162,794,232
163,790,226
164,786,220
165,782,216
166,776,210
167,772,206
168,766,200
169,762,196
170,756,190
171,752,186
172,746,180
173,742,176
174,736,170
175,732,166
176,726,160
177,722,156
178,716,150
179,712,146
180,706,140
181,702,136
182,696,130
183,692,126
184,686,120
185,682,116
186,676,110
187,672,106
188,666,100
189,662,96
190,656,90
191,652,86
192,646,80
193,642,76
194,636,70
195,632,66
196,626,60
197,622,56
198,616,50
199,612,46
200,606,40
201,602,36
202,596,30
203,592,26
204,586,20
205,582,16
206,576,10
207,574,6
208,568,2
209,562,4
210,556,6
211,550,8
212,546,10
213,542,16
214,536,20
215,532,26
216,526,30
217,522,36
218,516,40
219,512,46
220,506,50
221,502,56
222,496,60
223,492,66
224,486,70
225,482,76
226,476,80
227,472,86
228,466,90
229,462,96
230,456,100
231,452,106
232,446,110
233,442,116
234,436,120
235,432,126
236,426,130
237,422,136
238,416,140
239,412,146
