Frame,X-coordinate,Y-coordinate
0,X-coordinate,Y-coordinate
1,X-coordinate,Y-coordinate
2,20,147
3,25,152
4,30,157
5,30,157
6,30,157
7,30,157
8,50,177
9,55,182
10,60,187
11,65,192
12,65,192
13,75,202
14,80,207
15,80,207
16,90,217
17,95,222
18,100,227
19,105,232
20,105,232
21,115,242
22,115,242
23,125,252
24,130,257
25,135,262
26,140,267
27,145,272
28,150,277
29,155,282
30,160,287
31,165,292
32,170,298
33,170,298
34,180,307
35,180,307
36,180,307
37,195,322
38,200,327
39,205,332
40,210,337
41,210,337
42,210,337
43,225,352
44,225,352
45,225,352
46,240,367
47,240,367
48,250,377
49,255,382
50,260,387
51,265,392
52,270,397
53,275,402
54,275,402
55,285,412
56,290,417
57,290,417
58,290,417
59,290,417
60,290,417
61,315,442
62,320,447
63,320,447
64,330,457
65,335,462
66,340,467
67,345,472
68,345,472
69,355,482
70,355,482
71,365,492
72,370,497
73,375,502
74,380,507
75,385,512
76,390,517
77,395,522
78,400,527
79,405,532
80,410,538
81,410,538
82,420,547
83,420,547
84,420,547
85,435,562
86,440,567
87,445,572
88,450,577
89,455,582
90,455,582
91,455,582
92,455,582
93,455,582
94,455,582
95,455,582
96,455,582
97,495,582
98,500,577
99,505,572
100,510,567
101,515,562
102,520,557
103,520,557
104,530,547
105,530,547
106,540,537
107,545,532
108,550,527
109,555,522
110,555,522
111,555,522
112,570,507
113,575,502
114,580,497
115,580,497
116,580,497
117,595,482
118,595,482
119,595,482
120,610,467
121,610,467
122,620,457
123,625,452
124,630,447
125,635,442
126,635,442
127,645,432
128,650,427
129,655,422
130,660,417
131,660,417
132,670,407
133,675,402
134,680,397
135,685,392
136,690,387
137,695,382
138,700,377
139,705,372
140,710,367
141,715,362
142,720,357
143,725,352
144,730,347
145,735,342
146,740,337
147,745,332
148,750,327
149,755,322
150,760,317
151,760,317
152,770,307
153,775,302
154,780,297
155,780,297
156,780,297
157,780,297
158,803,231
159,803,231
160,803,231
161,771,268
162,780,257
163,780,257
164,770,247
165,765,242
166,760,237
167,755,232
168,750,227
169,745,222
170,745,222
171,735,212
172,730,207
173,725,202
174,720,197
175,715,192
176,710,187
177,705,182
